Type;FSQ;
Version;4.75;
Date;08.Jan 18;
Mode;ANALYZER;
Center Freq;3993600000.000000;Hz
Freq Offset;0.000000;Hz
Span;10000000.000000;Hz
x-Axis;LIN;
Start;3988600000.000000;Hz
Stop;3998600000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;25.000000;dB
El Att;0.000000;dB
RBW;30000.000000;Hz
VBW;100000.000000;Hz
SWT;0.030000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
3990571153.8461537;-75.505172729492187;-94.383857727050781
3990587179.4871793;-70.849174499511719;-81.714485168457031
3990603205.1282053;-70.313529968261719;-83.839851379394531
3990619230.7692308;-71.123275756835938;-80.026748657226562
3990635256.4102564;-68.988410949707031;-89.718292236328125
3990651282.0512819;-69.256980895996094;-89.718292236328125
3990667307.6923075;-71.123275756835938;-92.104988098144531
3990683333.3333335;-71.994338989257813;-89.718292236328125
3990699358.974359;-73.373680114746094;-90.30145263671875
3990715384.6153846;-68.348793029785156;-91.885078430175781
3990731410.2564101;-68.514144897460938;-87.448104858398438
3990747435.8974357;-70.122360229492187;-82.890373229980469
3990763461.5384617;-76.716934204101563;-105.86447906494141
3990779487.1794872;-75.087142944335938;-87.107437133789063
3990795512.8205128;-76.468040466308594;-97.481895446777344
3990811538.4615383;-75.055801391601562;-80.404457092285156
3990827564.1025643;-70.447441101074219;-84.8736572265625
3990843589.7435899;-71.607276916503906;-111.88507843017578
3990859615.3846154;-71.921348571777344;-83.474960327148438
3990875641.025641;-69.429840087890625;-92.484344482421875
3990891666.6666665;-74.230796813964844;-81.341079711914062
3990907692.3076925;-69.866188049316406;-83.839851379394531
3990923717.9487181;-66.836112976074219;-89.606216430664063
3990939743.5897436;-67.078254699707031;-96.443534851074219
3990955769.2307692;-72.414825439453125;-72.414825439453125
3990971794.8717947;-72.704254150390625;-88.315132141113281
3990987820.5128207;-67.93487548828125;-82.128181457519531
3991003846.1538463;-67.866249084472656;-75.108100891113281
3991019871.7948718;-69.606216430664062;-79.506690979003906
3991035897.4358974;-72.045799255371094;-105.16923522949219
3991051923.0769229;-70.361984252929688;-70.361984252929688
3991067948.7179489;-72.224586486816406;-83.420166015625
3991083974.3589745;-72.361137390136719;-78.724853515625
3991100000;-72.546607971191406;-86.699577331542969
3991116025.6410255;-67.220924377441406;-88.460304260253906
3991132051.2820511;-71.385795593261719;-87.31878662109375
3991148076.9230771;-74.42254638671875;-90.608406066894531
3991164102.5641026;-74.471153259277344;-94.099044799804688
3991180128.2051282;-67.583793640136719;-76.908401489257812
3991196153.8461537;-70.069343566894531;-116.56674194335937
3991212179.4871793;-70.753334045410156;-83.284652709960938
3991228205.1282053;-68.602981567382812;-79.082077026367188
3991244230.7692308;-71.502754211425781;-84.402336120605469
3991260256.4102564;-68.083114624023437;-84.809318542480469
3991276282.0512819;-70.199516296386719;-83.098426818847656
3991292307.6923075;-68.257736206054687;-91.741508483886719
3991308333.3333335;-69.024787902832031;-127.44810485839844
3991324358.974359;-72.262306213378906;-88.808784484863281
3991340384.6153846;-71.642402648925781;-90.926612854003906
3991356410.2564101;-70.151954650878906;-88.078445434570313
3991372435.8974357;-72.060562133789063;-95.626815795898438
3991388461.5384617;-69.797615051269531;-79.541580200195313
3991404487.1794872;-69.712654113769531;-69.712654113769531
3991420512.8205128;-71.25018310546875;-85.973739624023438
3991436538.4615383;-71.216606140136719;-88.808784484863281
3991452564.1025643;-64.531753540039063;-77.130630493164062
3991468589.7435899;-64.072265625;-76.566741943359375
3991484615.3846154;-66.987174987792969;-84.402336120605469
3991500641.025641;-69.484573364257813;-87.107437133789063
3991516666.6666665;-68.09246826171875;-92.881027221679688
3991532692.3076925;-69.993331909179687;-79.082077026367188
3991548717.9487181;-67.744064331054688;-78.804756164550781
3991564743.5897436;-71.777175903320312;-83.69769287109375
3991580769.2307692;-67.668014526367188;-78.836929321289062
3991596794.8717947;-68.363258361816406;-82.41534423828125
3991612820.5128207;-75.42864990234375;-80.94189453125
3991628846.1538463;-68.712806701660156;-88.315132141113281
3991644871.7948718;-69.63409423828125;-79.3343505859375
3991660897.4358974;-72.03106689453125;-86.699577331542969
3991676923.0769229;-67.690315246582031;-84.8736572265625
3991692948.7179489;-71.317726135253906;-88.315132141113281
3991708974.3589745;-75.374397277832031;-95.967483520507813
3991725000;-75.727615356445313;-82.839126586914062
3991741025.6410255;-72.082748413085938;-79.541580200195313
3991757051.2820511;-72.938041687011719;-87.985549926757813
3991773076.9230771;-66.487045288085937;-81.669715881347656
3991789102.5641026;-69.364616394042969;-77.495689392089844
3991805128.2051282;-72.247200012207031;-78.125587463378906
3991821153.8461537;-67.570564270019531;-75.288284301757813
3991837179.4871793;-69.854721069335938;-77.94921875
3991853205.1282053;-71.572296142578125;-79.664787292480469
3991869230.7692308;-68.115882873535156;-92.104988098144531
3991885256.4102564;-66.775611877441406;-100.59965515136719
3991901282.0512819;-66.747520446777344;-83.557815551757812
3991917307.6923075;-70.539939880371094;-81.941879272460938
3991933333.3333335;-72.720176696777344;-97.762107849121094
3991949358.974359;-67.699249267578125;-67.699249267578125
3991965384.6153846;-69.941093444824219;-79.249443054199219
3991981410.2564101;-70.169754028320312;-77.978363037109375
3991997435.8974357;-70.708969116210937;-87.985549926757813
3992013461.5384617;-69.757858276367188;-76.178482055664063
3992029487.1794872;-70.374137878417969;-80.880516052246094
3992045512.8205128;-68.339164733886719;-79.420097351074219
3992061538.4615383;-66.401924133300781;-96.202247619628906
3992077564.1025643;-66.188949584960937;-66.188949584960937
3992093589.7435899;-69.495559692382813;-81.298187255859375
3992109615.3846154;-73.960067749023438;-88.707786560058594
3992125641.025641;-72.570075988769531;-101.64741516113281
3992141666.6666665;-68.578216552734375;-81.405815124511719
3992157692.3076925;-67.811729431152344;-79.594169616699219
3992173717.9487181;-71.691810607910156;-71.691810607910156
3992189743.5897436;-74.071075439453125;-91.741508483886719
3992205769.2307692;-72.601463317871094;-94.579048156738281
3992221794.8717947;-66.039955139160156;-89.606216430664063
3992237820.5128207;-68.421356201171875;-76.691726684570312
3992253846.1538463;-71.037506103515625;-78.772705078125
3992269871.7948718;-66.917442321777344;-98.200141906738281
3992285897.4358974;-69.523094177246094;-90.608406066894531
3992301923.0769229;-73.564781188964844;-88.315132141113281
3992317948.7179489;-71.899566650390625;-81.895919799804688
3992333974.3589745;-66.058441162109375;-97.762107849121094
3992350000;-71.607276916503906;-82.762825012207031
3992366025.6410255;-71.921348571777344;-86.425056457519531
3992382051.2820511;-73.520980834960937;-80.251396179199219
3992398076.9230771;-74.44195556640625;-81.895919799804688
3992414102.5641026;-73.11968994140625;-81.941879272460938
3992430128.2051282;-70.343780517578125;-70.343780517578125
3992446153.8461537;-68.627822875976563;-80.738945007324219
3992462179.4871793;-70.010810852050781;-85.372032165527344
3992478205.1282053;-70.926612854003906;-79.541580200195313
3992494230.7692308;-64.556617736816406;-103.64147186279297
3992510256.4102564;-63.474964141845703;-74.326141357421875
3992526282.0512819;-70.664833068847656;-87.107437133789063
3992542307.6923075;-65.703125;-74.58892822265625
3992558333.3333335;-67.049171447753906;-73.688613891601562
3992574358.974359;-67.944068908691406;-88.707786560058594
3992590384.6153846;-66.151458740234375;-99.664787292480469
3992606410.2564101;-68.115882873535156;-89.066543579101563
3992622435.8974357;-70.862030029296875;-86.158943176269531
3992638461.5384617;-64.436042785644531;-81.234237670898438
3992654487.1794872;-65.447593688964844;-87.024322509765625
3992670512.8205128;-65.523811340332031;-74.44195556640625
3992686538.4615383;-68.553520202636719;-81.234237670898438
3992702564.1025643;-69.786239624023438;-80.779159545898438
3992718589.7435899;-68.672706604003906;-88.219680786132813
3992734615.3846154;-68.210197448730469;-86.901115417480469
3992750641.025641;-66.553390502929688;-82.537849426269531
3992766666.6666665;-70.211448669433594;-80.157081604003906
3992782692.3076925;-72.430229187011719;-82.58734130859375
3992798717.9487181;-74.44195556640625;-80.880516052246094
3992814743.5897436;-67.911941528320312;-73.733268737792969
3992830769.2307692;-69.63409423828125;-75.374397277832031
3992846794.8717947;-69.993331909179687;-105.86447906494141
3992862820.5128207;-67.548568725585937;-87.024322509765625
3992878846.1538463;-65.745864868164062;-86.901115417480469
3992894871.7948718;-67.327346801757812;-77.733673095703125
3992910897.4358974;-67.357376098632812;-87.757560729980469
3992926923.0769229;-70.010810852050781;-89.440765380859375
3992942948.7179489;-70.010810852050781;-83.365707397460938
3992958974.3589745;-69.150665283203125;-79.664787292480469
3992975000;-69.561782836914062;-90.926612854003906
3992991025.6410255;-68.672706604003906;-94.579048156738281
3993007051.2820511;-71.420028686523438;-88.460304260253906
3993023076.9230771;-68.494529724121094;-77.762107849121094
3993039102.5641026;-65.995758056640625;-72.17205810546875
3993055128.2051282;-66.088104248046875;-73.186698913574219
3993071153.8461537;-72.816329956054688;-85.372032165527344
3993087179.4871793;-68.82403564453125;-94.880325317382813
3993103205.1282053;-68.89556884765625;-74.024650573730469
3993119230.7692308;-68.514144897460938;-74.758560180664063
3993135256.4102564;-69.457168579101563;-82.222846984863281
3993151282.0512819;-67.378890991210938;-79.898338317871094
3993167307.6923075;-67.335914611816406;-92.484344482421875
3993183333.3333335;-66.600532531738281;-81.449249267578125
3993199358.974359;-65.523811340332031;-80.308479309082031
3993215384.6153846;-66.448249816894531;-85.685386657714844
3993231410.2564101;-69.701385498046875;-79.9898681640625
3993247435.8974357;-70.30145263671875;-83.897377014160156
3993263461.5384617;-74.471153259277344;-99.664787292480469
3993279487.1794872;-70.583450317382812;-86.425056457519531
3993295512.8205128;-66.058441162109375;-81.558784484863281
3993311538.4615383;-66.807823181152344;-72.247200012207031
3993327564.1025643;-70.051742553710938;-81.514801025390625
3993343589.7435899;-67.967086791992188;-96.202247619628906
3993359615.3846154;-72.80023193359375;-101.21302795410156
3993375641.025641;-68.578216552734375;-78.125587463378906
3993391666.6666665;-68.479843139648437;-91.256912231445312
3993407692.3076925;-69.140106201171875;-85.102676391601562
3993423717.9487181;-69.129562377929688;-110.546142578125
3993439743.5897436;-66.592658996582031;-99.664787292480469
3993455769.2307692;-66.553390502929688;-85.440696716308594
3993471794.8717947;-71.090187072753906;-79.506690979003906
3993487820.5128207;-77.064674377441406;-95.406906127929688
3993503846.1538463;-72.704254150390625;-87.757560729980469
3993519871.7948718;-71.935897827148438;-98.50494384765625
3993535897.4358974;-60.579933166503906;-88.558448791503906
3993551923.0769229;-44.217750549316406;-59.703868865966797
3993567948.7179489;-32.824550628662109;-43.928596496582031
3993583974.3589745;-25.568157196044922;-32.665363311767578
3993600000;-22.619318008422852;-22.619318008422852
3993616025.6410255;-22.626718521118164;-22.626718521118164
3993632051.2820511;-26.677410125732422;-36.710624694824219
3993648076.9230771;-36.919639587402344;-49.459903717041016
3993664102.5641026;-49.801029205322266;-66.177688598632812
3993680128.2051282;-66.467620849609375;-102.3426513671875
3993696153.8461537;-65.915298461914063;-76.869773864746094
3993712179.4871793;-65.951774597167969;-77.025344848632812
3993728205.1282053;-71.203208923339844;-71.203208923339844
3993744230.7692308;-73.186698913574219;-100.21354675292969
3993760256.4102564;-67.614723205566406;-90.926612854003906
3993776282.0512819;-69.457168579101563;-88.558448791503906
3993792307.6923075;-71.812995910644531;-90.30145263671875
3993808333.3333335;-68.834220886230469;-81.298187255859375
3993824358.974359;-70.785163879394531;-75.886787414550781
3993840384.6153846;-71.727279663085937;-93.644180297851563
3993856410.2564101;-71.2703857421875;-79.249443054199219
3993872435.8974357;-68.885307312011719;-93.044921875
3993888461.5384617;-68.553520202636719;-92.104988098144531
3993904487.1794872;-69.757858276367188;-82.712326049804688
3993920512.8205128;-69.413490295410156;-87.448104858398438
3993936538.4615383;-70.151954650878906;-96.443534851074219
3993952564.1025643;-68.662712097167969;-89.889167785644531
3993968589.7435899;-67.843490600585938;-79.506690979003906
3993984615.3846154;-71.863395690917969;-84.809318542480469
3994000641.025641;-72.96258544921875;-102.3426513671875
3994016666.6666665;-68.773300170898437;-85.270042419433594
3994032692.3076925;-70.040023803710938;-84.042869567871094
3994048717.9487181;-67.305953979492187;-74.738433837890625
3994064743.5897436;-69.484573364257813;-79.718124389648437
3994080769.2307692;-67.811729431152344;-90.004981994628906
3994096794.8717947;-64.912490844726563;-96.443534851074219
3994112820.5128207;-71.607276916503906;-71.607276916503906
3994128846.1538463;-71.156494140625;-92.640853881835938
3994144871.7948718;-67.659111022949219;-76.742225646972656
3994160897.4358974;-66.995414733886719;-77.064674377441406
3994176923.0769229;-70.583450317382812;-88.219680786132813
3994192948.7179489;-70.092864990234375;-81.341079711914062
3994208974.3589745;-66.687629699707031;-76.869773864746094
3994225000;-72.704254150390625;-86.234146118164063
3994241025.6410255;-65.696022033691406;-80.404457092285156
3994257051.2820511;-66.095527648925781;-88.558448791503906
3994273076.9230771;-66.375015258789063;-105.86447906494141
3994289102.5641026;-68.106513977050781;-74.278335571289063
3994305128.2051282;-73.644180297851562;-105.16923522949219
3994321153.8461537;-67.29315185546875;-78.351211547851563
3994337179.4871793;-66.088104248046875;-86.819938659667969
3994353205.1282053;-72.840538024902344;-96.818527221679688
3994369230.7692308;-68.93670654296875;-77.33154296875
3994385256.4102564;-66.565155029296875;-75.637954711914063
3994401282.0512819;-71.777175903320312;-78.645675659179688
3994417307.6923075;-66.995414733886719;-104.22074890136719
3994433333.3333335;-66.287178039550781;-96.202247619628906
3994449358.974359;-67.879928588867188;-67.879928588867188
3994465384.6153846;-67.879928588867188;-87.31878662109375
3994481410.2564101;-72.468849182128906;-89.889167785644531
3994497435.8974357;-69.440765380859375;-88.315132141113281
3994513461.5384617;-65.189308166503906;-83.151229858398438
3994529487.1794872;-69.63409423828125;-98.50494384765625
3994545512.8205128;-69.757858276367188;-90.122360229492188
3994561538.4615383;-67.057472229003906;-72.995429992675781
3994577564.1025643;-69.701385498046875;-81.405815124511719
3994593589.7435899;-71.762893676757813;-82.057846069335938
3994609615.3846154;-74.183509826660156;-85.102676391601562
3994625641.025641;-73.288192749023438;-79.753868103027344
3994641666.6666665;-67.049171447753906;-106.62025451660156
3994657692.3076925;-68.013313293457031;-85.685386657714844
3994673717.9487181;-72.704254150390625;-87.985549926757813
3994689743.5897436;-66.687629699707031;-79.3343505859375
3994705769.2307692;-71.283882141113281;-88.808784484863281
3994721794.8717947;-66.787673950195313;-80.983062744140625
3994737820.5128207;-72.157112121582031;-93.914230346679688
3994753846.1538463;-72.921714782714844;-81.405815124511719
3994769871.7948718;-67.327346801757812;-83.231040954589844
3994785897.4358974;-64.742271423339844;-101.64741516113281
3994801923.0769229;-68.910972595214844;-78.772705078125
3994817948.7179489;-67.430747985839844;-82.58734130859375
3994833974.3589745;-66.021514892578125;-81.827438354492188
3994850000;-64.457565307617188;-82.662117004394531
3994866025.6410255;-70.478164672851562;-108.85972595214844
3994882051.2820511;-69.484573364257813;-83.365707397460938
3994898076.9230771;-72.468849182128906;-82.712326049804688
3994914102.5641026;-70.690025329589844;-82.712326049804688
3994930128.2051282;-64.732734680175781;-74.809089660644531
3994946153.8461537;-68.687721252441406;-79.215713500976563
3994962179.4871793;-69.797615051269531;-88.910972595214844
3994978205.1282053;-69.645278930664063;-83.897377014160156
3994994230.7692308;-66.336715698242188;-80.63922119140625
3995010256.4102564;-63.788406372070313;-79.9898681640625
3995026282.0512819;-66.787673950195313;-96.202247619628906
3995042307.6923075;-69.662071228027344;-85.372032165527344
3995058333.3333335;-70.081092834472656;-100.21354675292969
3995074358.974359;-65.756576538085938;-79.898338317871094
3995090384.6153846;-65.696022033691406;-73.733268737792969
3995106410.2564101;-69.797615051269531;-81.895919799804688
3995122435.8974357;-68.647743225097656;-90.30145263671875
3995138461.5384617;-70.708969116210937;-87.757560729980469
3995154487.1794872;-74.230796813964844;-95.967483520507813
3995170512.8205128;-71.39947509765625;-77.157150268554688
3995186538.4615383;-70.30145263671875;-93.914230346679688
3995202564.1025643;-68.106513977050781;-73.868637084960938
3995218589.7435899;-65.132568359375;-84.101760864257813
3995234615.3846154;-69.310630798339844;-83.284652709960938
3995250641.025641;-67.623580932617188;-93.468704223632812
3995266666.6666665;-75.108100891113281;-89.171829223632812
3995282692.3076925;-68.514144897460938;-74.880325317382812
3995298717.9487181;-66.807823181152344;-81.714485168457031
3995314743.5897436;-66.494819641113281;-88.910972595214844
3995330769.2307692;-66.966606140136719;-76.119354248046875
3995346794.8717947;-69.981689453125;-101.21302795410156
3995362820.5128207;-67.400466918945312;-80.443145751953125
3995378846.1538463;-67.242103576660156;-79.368545532226563
3995394871.7948718;-71.691810607910156;-95.406906127929688
3995410897.4358974;-66.795730590820313;-76.999221801757813
3995426923.0769229;-66.363510131835938;-84.042869567871094
3995442948.7179489;-66.2530517578125;-81.782081604003906
3995458974.3589745;-74.326141357421875;-95.087142944335938
3995475000;-70.343780517578125;-85.270042419433594
3995491025.6410255;-68.553520202636719;-108.85972595214844
3995507051.2820511;-67.735084533691406;-73.932540893554688
3995523076.9230771;-66.917442321777344;-91.741508483886719
3995539102.5641026;-67.766563415527344;-78.693092346191406
3995555128.2051282;-70.583450317382812;-83.365707397460938
3995571153.8461537;-75.03497314453125;-97.481895446777344
3995587179.4871793;-73.390884399414063;-103.64147186279297
3995603205.1282053;-72.570075988769531;-88.707786560058594
3995619230.7692308;-68.083114624023437;-87.757560729980469
3995635256.4102564;-64.286888122558594;-88.707786560058594
3995651282.0512819;-69.645278930664063;-80.839828491210937
3995667307.6923075;-70.151954650878906;-99.664787292480469
3995683333.3333335;-70.614662170410156;-105.16923522949219
3995699358.974359;-68.528892517089844;-92.104988098144531
3995715384.6153846;-69.837547302246094;-93.914230346679688
3995731410.2564101;-69.348388671875;-77.358688354492188
3995747435.8974357;-67.681388854980469;-80.157081604003906
3995763461.5384617;-68.387413024902344;-80.119644165039063
3995779487.1794872;-69.193038940429688;-102.83912658691406
3995795512.8205128;-73.626472473144531;-90.422935485839844
3995811538.4615383;-72.507644653320313;-83.69769287109375
3995827564.1025643;-75.266891479492188;-82.662117004394531
3995843589.7435899;-69.061309814453125;-88.910972595214844
3995859615.3846154;-68.89556884765625;-79.131950378417969
3995875641.025641;-72.414825439453125;-101.21302795410156
3995891666.6666665;-71.957763671875;-103.64147186279297
3995907692.3076925;-69.883415222167969;-102.83912658691406
3995923717.9487181;-68.885307312011719;-85.973739624023438
3995939743.5897436;-68.470069885253906;-89.066543579101563
3995955769.2307692;-69.712654113769531;-85.036628723144531
3995971794.8717947;-67.681388854980469;-101.64741516113281
3995987820.5128207;-68.553520202636719;-77.5928955078125
3996003846.1538463;-69.050857543945313;-81.045181274414063
3996019871.7948718;-73.932540893554688;-86.699577331542969
3996035897.4358974;-69.457168579101563;-77.157150268554688
3996051923.0769229;-68.885307312011719;-68.885307312011719
3996067948.7179489;-69.993331909179687;-84.809318542480469
3996083974.3589745;-71.727279663085937;-108.85972595214844
3996100000;-68.602981567382812;-94.880325317382813
3996116025.6410255;-68.538734436035156;-73.914230346679688
3996132051.2820511;-70.140106201171875;-76.443534851074219
3996148076.9230771;-69.429840087890625;-80.63922119140625
3996164102.5641026;-65.970077514648437;-93.644180297851563
3996180128.2051282;-65.988410949707031;-81.895919799804688
3996196153.8461537;-74.052474975585937;-86.047348022460938
3996212179.4871793;-70.677421569824219;-87.535400390625
3996228205.1282053;-69.866188049316406;-87.985549926757813
3996244230.7692308;-69.883415222167969;-83.984382629394531
3996260256.4102564;-73.538475036621094;-84.402336120605469
3996276282.0512819;-67.028457641601562;-77.978363037109375
3996292307.6923075;-67.01605224609375;-82.011276245117188
3996308333.3333335;-74.089714050292969;-95.967483520507813
